iter	Passed	Remaining
0	0	89
1	1	77
2	2	71
3	2	64
4	3	63
5	3	61
6	4	60
7	5	59
8	5	59
9	6	58
10	7	57
11	7	56
12	8	55
13	8	55
14	9	54
15	10	53
16	10	53
17	11	52
18	12	51
19	12	51
20	13	50
21	14	49
22	14	48
23	15	48
24	15	47
25	16	46
26	17	46
27	17	45
28	18	44
29	18	44
30	19	43
31	20	42
32	20	42
33	21	41
34	21	40
35	22	40
36	23	39
37	23	38
38	24	38
39	25	37
40	25	36
41	25	35
42	26	35
43	27	35
44	29	35
45	29	35
46	30	34
47	31	34
48	32	33
49	33	33
50	34	32
51	35	32
52	35	31
53	36	31
54	37	30
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	42	26
61	42	26
62	43	25
63	45	25
64	46	25
65	48	24
66	49	24
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	54	20
73	55	19
74	55	18
75	56	17
76	57	17
77	57	16
78	58	15
79	59	14
80	60	14
81	61	13
82	61	12
83	62	11
84	63	11
85	63	10
86	64	9
87	65	8
88	66	8
89	67	7
90	68	6
91	69	6
92	69	5
93	70	4
94	71	3
95	71	2
96	72	2
97	73	1
98	73	0
99	74	0
